property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change,month,year,date
Detached,South,144,253,56.92%,267,1.85,725000,8.88%,0.62%,1,2025,2025-01-01
Detached,South East,97,181,53.59%,181,1.87,718700,6.95%,0.07%,1,2025,2025-01-01
Detached,West,62,108,57.41%,114,1.84,964900,7.91%,-0.09%,1,2025,2025-01-01
Row,City Centre,30,63,47.62%,69,2.3,604500,5.96%,-0.26%,1,2025,2025-01-01
Row,East,7,12,58.33%,21,3.0,305500,15.50%,-0.39%,1,2025,2025-01-01
Row,North,43,62,69.35%,89,2.07,413200,2.08%,-1.10%,1,2025,2025-01-01
Row,North East,37,101,36.63%,130,3.51,360500,4.40%,-2.70%,1,2025,2025-01-01
Row,North West,24,39,61.54%,43,1.79,447300,8.17%,0.99%,1,2025,2025-01-01
Row,South,43,70,61.43%,73,1.7,396500,5.54%,-1.69%,1,2025,2025-01-01
Row,South East,41,78,52.56%,108,2.63,460600,5.86%,0.77%,1,2025,2025-01-01
Row,West,21,43,48.84%,56,2.67,457400,6.47%,-0.46%,1,2025,2025-01-01
Semi-detached,City Centre,38,73,52.05%,103,2.71,926600,10.23%,-0.74%,1,2025,2025-01-01
Semi-detached,East,4,4,100.00%,3,0.75,408500,7.90%,0.15%,1,2025,2025-01-01
Semi-detached,North,17,20,85.00%,27,1.59,512600,2.62%,0.12%,1,2025,2025-01-01
Semi-detached,North East,20,48,41.67%,56,2.8,437900,6.23%,-0.66%,1,2025,2025-01-01
Semi-detached,North West,16,27,59.26%,26,1.63,646300,5.26%,0.15%,1,2025,2025-01-01
Semi-detached,South,28,44,63.64%,38,1.36,534500,9.69%,0.11%,1,2025,2025-01-01
Semi-detached,South East,28,35,80.00%,26,0.93,519300,8.91%,0.66%,1,2025,2025-01-01
Semi-detached,West,6,23,26.09%,25,4.17,781900,5.43%,-1.41%,1,2025,2025-01-01
Apartment,City Centre,188,377,49.87%,659,3.51,344800,2.86%,1.26%,2,2025,2025-02-01
Apartment,East,12,14,85.71%,21,1.75,252200,5.79%,-0.63%,2,2025,2025-02-01
Apartment,North,44,71,61.97%,133,3.02,329700,3.16%,-0.60%,2,2025,2025-02-01
Apartment,North East,27,62,43.55%,142,5.26,302100,5.30%,-0.76%,2,2025,2025-02-01
Apartment,North West,36,67,53.73%,101,2.81,308600,2.97%,1.08%,2,2025,2025-02-01
Apartment,South,75,100,75.00%,153,2.04,310000,5.37%,0.55%,2,2025,2025-02-01
Apartment,South East,47,86,54.65%,140,2.98,361400,3.76%,1.75%,2,2025,2025-02-01
Apartment,West,44,75,58.67%,117,2.66,357100,8.08%,0.51%,2,2025,2025-02-01
Detached,City Centre,82,160,51.25%,261,3.18,965100,7.77%,1.09%,2,2025,2025-02-01
Detached,East,24,36,66.67%,52,2.17,525700,3.95%,-0.06%,2,2025,2025-02-01
Detached,North,110,160,68.75%,209,1.9,684700,2.82%,1.77%,2,2025,2025-02-01
Detached,North East,92,191,48.17%,317,3.45,606100,3.73%,0.90%,2,2025,2025-02-01
Detached,North West,93,139,66.91%,156,1.68,803700,4.96%,2.59%,2,2025,2025-02-01
Detached,South,189,261,72.41%,303,1.6,735900,6.48%,1.50%,2,2025,2025-02-01
Detached,South East,106,189,56.08%,241,2.27,730200,5.20%,1.60%,2,2025,2025-02-01
Detached,West,68,112,60.71%,138,2.03,962000,4.44%,-0.30%,2,2025,2025-02-01
Row,City Centre,43,58,74.14%,76,1.77,603300,2.78%,-0.20%,2,2025,2025-02-01
Row,East,14,17,82.35%,20,1.43,304900,12.30%,-0.20%,2,2025,2025-02-01
Row,North,44,74,59.46%,104,2.36,417500,1.43%,1.04%,2,2025,2025-02-01
Row,North East,46,71,64.79%,131,2.85,368000,5.53%,2.08%,2,2025,2025-02-01
Row,North West,33,49,67.35%,52,1.58,451200,5.25%,0.87%,2,2025,2025-02-01
Row,South,56,79,70.89%,82,1.46,402900,4.16%,1.61%,2,2025,2025-02-01
Row,South East,52,66,78.79%,114,2.19,456100,1.83%,-0.98%,2,2025,2025-02-01
Row,West,30,55,54.55%,72,2.4,457800,4.28%,0.09%,2,2025,2025-02-01
Semi-detached,City Centre,51,71,71.83%,101,1.98,935500,7.96%,0.96%,2,2025,2025-02-01
Semi-detached,East,1,6,16.67%,8,8.0,407300,5.49%,-0.29%,2,2025,2025-02-01
Semi-detached,North,17,30,56.67%,27,1.59,527900,3.69%,2.98%,2,2025,2025-02-01
Semi-detached,North East,18,25,72.00%,57,3.17,447800,6.85%,2.26%,2,2025,2025-02-01
Semi-detached,North West,18,14,128.57%,18,1.0,659100,4.07%,1.98%,2,2025,2025-02-01
Semi-detached,South,29,49,59.18%,51,1.76,544000,8.30%,1.78%,2,2025,2025-02-01
Semi-detached,South East,19,29,65.52%,34,1.79,526400,6.93%,1.37%,2,2025,2025-02-01
Semi-detached,West,11,16,68.75%,28,2.55,795600,4.74%,1.75%,2,2025,2025-02-01
Apartment,City Centre,234,466,50.21%,762,3.26,348200,2.38%,0.99%,3,2025,2025-03-01
Apartment,East,12,22,54.55%,28,2.33,252700,2.18%,0.20%,3,2025,2025-03-01
Apartment,North,46,84,54.76%,145,3.15,328400,1.42%,-0.39%,3,2025,2025-03-01
Apartment,North East,35,84,41.67%,155,4.43,301800,1.24%,-0.10%,3,2025,2025-03-01
